Ratio,BAs,Centres,Constraints,Duration,ObjVal,Gap
1.0,1008,18,C1,190.3335978,605809.0899999999,1.921650297900529e-16
1.0,1008,18,C2,256.5759479,606281.48,0.0
1.0,1008,18,C3,371.1851492,607495.8999999999,0.0
1.0,1008,21,C0,71.8963319,558172.84,0.0
1.0,1008,21,C1,140.5429169,558172.84,0.0
1.0,1008,21,C2,181.0129979,558339.61,0.0
1.0,1008,21,C3,311.3351529,559114.7,0.0
1.0,1008,24,C0,105.3027831,523102.68999999994,0.0
1.0,1008,24,C1,192.296645,523105.12,0.0
1.0,1008,24,C2,335.5392144,523204.02,4.450092788925238e-16
1.0,1008,24,C3,312.3618371,524278.49000000005,2.2204863263975374e-16
1.0,1008,27,C0,80.8630855,492395.06,0.0
1.0,1008,27,C1,146.0585992,492397.27999999997,0.0
1.0,1008,27,C2,156.1858703,492424.0199999999,0.0
1.0,1008,27,C3,522.4326405,493768.41,1.1788453804379143e-16
1.0,1008,30,C0,76.6036108,467094.35,4.984659815599774e-16
1.0,1008,30,C1,132.5468302,467096.57,4.984636124685514e-16
1.0,1008,30,C2,191.7918648,467329.2599999999,0.0
1.0,1008,30,C3,758.8800234,469032.69,3.7230450342470205e-16
1.0,1508,3,C0,247.2945321,1.4550155500000003e6,0.0
1.0,1508,3,C1,1297.1583427,1.4550301300000004e6,0.0
1.0,1508,3,C2,916.9109935,1.4550582300000004e6,0.0
1.0,1508,3,C3,1369.0488149,1.4550500300000003e6,0.0
1.0,1508,6,C0,143.4456069,1.04543481e6,1.44762654665206e-15
1.0,1508,6,C1,821.9134994,1.0454639700000002e6,1.4475861695646502e-15
1.0,1508,6,C2,721.2407656,1.0455645700000002e6,0.0
1.0,1508,6,C3,1011.1911563,1.0457083600000002e6,0.0
1.0,1508,9,C0,291.6822056,860494.0400000002,2.7057786902727365e-16
1.0,1508,9,C1,989.8543613,860499.2200000001,2.7057624021305865e-16
1.0,1508,9,C2,931.7428195,860549.1900000001,0.0
1.0,1508,9,C3,2772.1332503,861028.51,0.0
1.0,1508,12,C0,479.0115059,748911.8900000001,3.108919043251798e-16
1.0,1508,12,C1,1493.7725218,748917.2200000001,1.5544484586285091e-16
1.0,1508,12,C2,1766.4307053,749076.4400000001,0.0
1.0,1508,12,C3,4988.2997887,749294.1599999999,0.0
1.0,1508,15,C0,297.470614,658490.82,0.0
1.0,1508,15,C1,905.7982861,658496.1499999999,0.0
1.0,1508,15,C2,966.2553707,658611.6199999999,0.0
1.0,1508,15,C3,2177.6512459,658854.0599999999,0.0
1.0,1508,18,C0,334.9166781,598593.08,3.889631394567235e-16
1.0,1508,18,C1,690.0758125,598598.4099999999,0.0
1.0,1508,18,C2,793.5766421,598705.8499999999,0.0
1.0,1508,18,C3,917.0801207,599029.56,3.8867972334098103e-16
1.0,1508,21,C0,235.2781175,550896.02,6.339598632075876e-16
1.0,1508,21,C1,386.3939119,550898.16,8.452765340652785e-16
1.0,1508,21,C2,461.0872554,551001.8900000001,0.0
1.0,1508,21,C3,579.3797831,552063.48,2.1087307174699334e-16
1.0,1508,24,C0,279.7776166,516825.8900000001,9.01002245277881e-16
1.0,1508,24,C1,490.2509393,516828.26000000007,7.88373349387419e-16
1.0,1508,24,C2,556.8465697,517048.69000000006,5.628837480805473e-16
1.0,1508,24,C3,1337.2917884,518457.62000000005,0.0
1.0,1508,27,C0,338.90508,488399.68000000005,0.0
1.0,1508,27,C1,565.2193279,488405.20000000007,0.0
1.0,1508,27,C2,558.0179617,488555.88000000006,0.0
1.0,1508,27,C3,1842.2146198,489981.57999999996,0.0
1.0,1508,30,C0,304.5954441,462575.63,2.1391750264252917e-15
1.0,1508,30,C1,438.7031993,462576.64,2.1391703557035345e-15
1.0,1508,30,C2,547.4894677,462705.26,1.5095828626664172e-15
1.0,1508,30,C3,901.361429,463863.0,5.019383819228298e-16
1.0,2040,3,C0,443.7874595,1.48963493e6,3.126009453254022e-16
1.0,2040,3,C1,3204.4931029,1.4896377499999998e6,1.5630017677376239e-16
1.0,2040,3,C2,21674.7094829,2.0314636200000003e6,0.26695494971374123
1.0,2040,3,C3,9820.936664,1.4899576999999997e6,0.0
1.0,2040,6,C0,500.7281783,1.06171275e6,0.0
1.0,2040,6,C1,3563.1945331,1.0617149500000002e6,2.1929675536156818e-16
1.0,2040,6,C2,3190.7343543,1.06181298e6,0.0
1.0,2040,6,C3,3835.3538189,1.06197566e6,0.0
1.0,2040,9,C0,868.8433755,877927.08,0.0
1.0,2040,9,C1,4837.2888547,877930.83,0.0
1.0,2040,9,C2,3649.4682424,877963.49,0.0
1.0,2040,9,C3,8112.967513,878049.8099999999,0.0
1.0,2040,12,C0,870.9641474,758775.8299999998,0.0
1.0,2040,12,C1,4624.5849361,758776.4299999998,0.0
1.0,2040,12,C2,6728.333911,758839.6699999998,0.0
1.0,2040,12,C3,9844.6310446,758953.8299991376,1.2271136106086147e-15
1.0,2040,15,C0,563.6345895,666527.8899999999,0.0
1.0,2040,15,C1,2337.2483845,666542.6299999999,0.0
1.0,2040,15,C2,2508.1714078,666609.7799999998,0.0
1.0,2040,15,C3,5988.6557617,666876.9699999997,0.0
1.0,2040,18,C0,828.7490637,603103.61,0.0
1.0,2040,18,C1,1672.784839,603138.1099999999,0.0
1.0,2040,18,C2,1868.2101401,603183.7999999999,0.0
1.0,2040,18,C3,2623.567313,603622.6399999999,0.0
1.0,2040,21,C0,685.5903639,555093.71,0.0
1.0,2040,21,C1,1686.2345823,555128.2100000001,0.0
1.0,2040,21,C2,2503.5322774,555159.0200000001,0.0
1.0,2040,21,C3,3444.4733716,555667.9200000002,4.190104112072361e-16
1.0,2040,24,C0,656.9516462,518384.77,8.982927629369575e-16
1.0,2040,24,C1,1065.1145211,518459.42999999993,2.245408513968679e-16
1.0,2040,24,C2,1236.8841539,518543.6499999999,0.0
1.0,2040,24,C3,2117.5780246,519008.69999999995,0.0
1.0,2040,27,C0,723.4493228,490382.93,3.56095149438424e-16
1.0,2040,27,C1,1233.7446039,490459.14,0.0
1.0,2040,27,C2,1338.8755062,490538.89999999997,0.0
1.0,2040,27,C3,2960.837849,491168.12000000005,0.0
1.0,2040,30,C0,748.319032,464366.12000000005,0.0
1.0,2040,30,C1,1438.3815374,464457.6500000001,0.0
1.0,2040,30,C2,1931.5647974,464554.91000000015,1.7541677748891803e-15
1.0,2040,30,C3,2017.3650441,465200.6300000001,0.0
