Ratio,BAs,Centres,Constraints,Duration,ObjVal,Gap
0.5,510,3,C0,3.7589455,1.5990542599999995e6,0.0
0.5,510,3,C1,8.929503,1.5990750499999996e6,0.0
0.5,510,3,C2,20.2953944,1.5991870299999998e6,0.0
0.5,510,3,C3,19.7660782,1.6006407099999997e6,0.0
0.5,510,6,C0,2.9707041,1.3206061800000002e6,0.0
0.5,510,6,C1,7.9564133,1.32069698e6,0.0
0.5,510,6,C2,25.1088516,1.3209364699999997e6,0.0
0.5,510,6,C3,19.6453464,1.3216261099999999e6,0.0
0.5,510,9,C0,5.9516566,1.2016262999999998e6,0.0
0.5,510,9,C1,11.2652026,1.2016800899999999e6,0.0
0.5,510,9,C2,23.1452464,1.2021377599999998e6,0.0
0.5,510,9,C3,24.9944049,1.2032571099999999e6,0.0
0.5,510,12,C0,2.2711991,1.1318307599999998e6,0.0
0.5,510,12,C1,5.8177241,1.1318845499999998e6,0.0
0.5,510,12,C2,18.220614,1.13313015e6,0.0
0.5,510,12,C3,53.123252,1.13477175e6,2.0517839261848881e-16
0.5,510,15,C0,3.8036907,1.08937817e6,0.0
0.5,510,15,C1,7.0036299,1.08945801e6,0.0
0.5,510,15,C2,17.8192111,1.0906368099999998e6,0.0
0.5,510,15,C3,27.8129971,1.09302774e6,4.260287916459826e-16
0.5,510,18,C0,4.4934095,1.05760367e6,0.0
0.5,510,18,C1,7.1880104,1.05765746e6,0.0
0.5,510,18,C2,23.6686663,1.0590186099999999e6,0.0
0.5,510,18,C3,55.615685,1.06087747e6,0.0
0.5,510,21,C0,2.9039739,1.0327113500000001e6,0.0
0.5,510,21,C1,5.1352152,1.03276514e6,0.0
0.5,510,21,C2,23.3080072,1.0356497699999999e6,0.0
0.5,510,21,C3,51.1548368,1.0388053399999999e6,0.0
0.5,510,24,C0,1.7642278,1.01309396e6,0.0
0.5,510,24,C1,4.1789887,1.0131738e6,0.0
0.5,510,24,C2,22.6327292,1.0186742399999999e6,0.0
0.5,510,24,C3,49.0344528,1.01997243e6,1.1413575348005712e-16
0.5,510,27,C0,2.6261159,999368.06,0.0
0.5,510,27,C1,5.7288841,999572.3300000001,0.0
0.5,510,27,C2,25.9969633,1.0053457899999999e6,0.0
0.5,510,27,C3,44.0951755,1.0063276000000001e6,1.1568332402582897e-16
0.5,510,30,C0,1.7724584,986877.7200000001,0.0
0.5,510,30,C1,5.9627496,987214.9299999999,0.0
0.5,510,30,C2,26.0971427,993730.3999999999,0.0
0.5,510,30,C3,50.0657043,994490.6099999999,0.0
0.5,1008,3,C0,26.4644304,1.58721883e6,5.867638141714072e-16
0.5,1008,3,C1,100.4038855,1.58721883e6,5.867638141714072e-16
0.5,1008,3,C2,145.0374348,1.58725937e6,0.0
0.5,1008,3,C3,170.4905658,1.5872592500000005e6,0.0
0.5,1008,6,C0,19.0724732,1.29367449e6,8.998810962635185e-16
0.5,1008,6,C1,90.61753,1.29368239e6,7.199004808401841e-16
0.5,1008,6,C2,119.0626277,1.2938430799999998e6,0.0
0.5,1008,6,C3,134.3728897,1.29399381e6,0.0
0.5,1008,9,C0,19.4623517,1.1812584700000002e6,5.913116804670266e-16
0.5,1008,9,C1,74.205296,1.1812584700000002e6,5.913116804670266e-16
0.5,1008,9,C2,106.8779492,1.1816947000000002e6,0.0
0.5,1008,9,C3,125.0448163,1.1818586400000001e6,0.0
0.5,1008,12,C0,25.9387362,1.11435501e6,0.0
0.5,1008,12,C1,78.940626,1.11435518e6,0.0
0.5,1008,12,C2,176.6610385,1.1153396800000002e6,0.0
0.5,1008,12,C3,268.5208018,1.11639039e6,0.0
0.5,1008,15,C0,12.1963895,1.06656311e6,6.548997658109597e-16
0.5,1008,15,C1,44.1329196,1.06656311e6,6.548997658109597e-16
0.5,1008,15,C2,57.1877531,1.0678245500000003e6,0.0
0.5,1008,15,C3,209.1124664,1.0691721800000002e6,2.177672109405892e-16
0.5,1008,18,C0,12.2450041,1.03555369e6,4.496737270162586e-16
0.5,1008,18,C1,46.068054,1.03555369e6,4.496737270162586e-16
0.5,1008,18,C2,55.928638,1.0371047599999999e6,0.0
0.5,1008,18,C3,142.0102311,1.03789858e6,0.0
0.5,1008,21,C0,18.2703796,1.0140453400000001e6,0.0
0.5,1008,21,C1,62.541032,1.0140453400000001e6,0.0
0.5,1008,21,C2,74.1786112,1.0168055899999999e6,0.0
0.5,1008,21,C3,342.8145483,1.0167791300000001e6,1.1449420861631455e-16
0.5,1008,24,C0,26.9301424,997098.1799999999,9.340329701689744e-16
0.5,1008,24,C1,63.7254426,997098.1799999999,0.0
0.5,1008,24,C2,104.1519367,999935.6499999999,2.3284562726998446e-16
0.5,1008,24,C3,241.4219133,999576.8,0.0
0.5,1008,27,C0,34.5113839,982635.6499999998,1.1847252013188696e-16
0.5,1008,27,C1,126.2077331,982657.6599999998,3.554095995962668e-16
0.5,1008,27,C2,122.5452155,986019.0699999998,0.0
0.5,1008,27,C3,239.9470419,985227.26,0.0
0.5,1008,30,C0,22.3159728,969641.4499999998,0.0
0.5,1008,30,C1,120.2849303,969764.32,0.0
0.5,1008,30,C2,82.6456015,973956.45,0.0
0.5,1008,30,C3,129.7226804,972269.1399999999,2.394713912794452e-16
0.5,1508,3,C0,56.8574722,1.59254314e6,2.9240105062883213e-16
0.5,1508,3,C1,263.8182785,1.59254519e6,2.9240067423627665e-16
0.5,1508,3,C2,448.7831537,1.5926300999999999e6,0.0
0.5,1508,3,C3,538.5577816,1.59276531e6,1.4618013224677125e-16
0.5,1508,6,C0,85.6006167,1.30403886e6,5.356373589676682e-16
0.5,1508,6,C1,281.054666,1.30405608e6,3.5708685726747213e-16
0.5,1508,6,C2,417.3623751,1.30408987e6,0.0
0.5,1508,6,C3,362.3892221,1.30424396e6,0.0
0.5,1508,9,C0,115.0687073,1.1795427999999998e6,3.947811705584056e-16
0.5,1508,9,C1,259.421979,1.1795441099999999e6,3.9478073211500274e-16
0.5,1508,9,C2,274.8089376,1.17957391e6,0.0
0.5,1508,9,C3,343.318624,1.1801047099999997e6,0.0
0.5,1508,12,C0,97.9111935,1.1129398199999998e6,4.184065292117406e-16
0.5,1508,12,C1,218.9259819,1.1129560799999998e6,0.0
0.5,1508,12,C2,254.5629543,1.11415755e6,0.0
0.5,1508,12,C3,832.3764749,1.11438525e6,4.1786382878608565e-16
0.5,1508,15,C0,81.4772769,1.0704658099999998e6,0.0
0.5,1508,15,C1,172.4165688,1.0704690399999998e6,0.0
0.5,1508,15,C2,243.8316015,1.07174502e6,0.0
0.5,1508,15,C3,770.9540706,1.07206722e6,0.0
0.5,1508,18,C0,76.8599179,1.0383438299999998e6,0.0
0.5,1508,18,C1,154.1911851,1.0383461599999999e6,0.0
0.5,1508,18,C2,227.2179663,1.0396865399999998e6,0.0
0.5,1508,18,C3,750.892864,1.0401885499999999e6,0.0
0.5,1508,21,C0,148.1561691,1.01494361e6,0.0
0.5,1508,21,C1,244.9844269,1.01494453e6,0.0
0.5,1508,21,C2,266.6854971,1.01620085e6,0.0
0.5,1508,21,C3,826.1499584,1.016888e6,0.0
0.5,1508,24,C0,87.2860868,998731.7899999999,0.0
0.5,1508,24,C1,168.8171514,998807.5499999998,0.0
0.5,1508,24,C2,258.7412984,1.0000884800000001e6,1.1640502231056076e-16
0.5,1508,24,C3,1466.2138238,1.0005952100000001e6,5.817303574086409e-16
0.5,1508,27,C0,86.2158105,985185.2799999999,0.0
0.5,1508,27,C1,152.2454577,985274.0999999999,1.4178631732258242e-15
0.5,1508,27,C2,290.3568372,987366.6,3.5371458329743424e-16
0.5,1508,27,C3,633.3376164,986943.6599999999,1.1795538747058248e-16
0.5,1508,30,C0,62.3542891,973202.22,0.0
0.5,1508,30,C1,121.1175354,973294.3999999998,0.0
0.5,1508,30,C2,226.6954511,975771.8200000001,0.0
0.5,1508,30,C3,434.5136172,974953.01,1.1940608483985788e-15
0.5,2040,3,C0,163.0748345,1.5923455000000005e6,2.9243734309403273e-15
0.5,2040,3,C1,605.7619352,1.5923523600000008e6,3.2167969157185342e-15
0.5,2040,3,C2,1228.9167241,1.5924145000000005e6,0.0
0.5,2040,3,C3,1837.4650589,1.5923622500000005e6,1.4621713347818285e-16
0.5,2040,6,C0,250.5309081,1.3109921200000003e6,1.7759881245805625e-16
0.5,2040,6,C1,2058.9247851,1.3110250300000003e6,0.0
0.5,2040,6,C2,1455.7656667,1.3111740200000003e6,0.0
0.5,2040,6,C3,1355.904835,1.3112796600000004e6,0.0
0.5,2040,9,C0,817.5730855,1.1972784600000004e6,1.9446657685119428e-16
0.5,2040,9,C1,1214.6476457,1.1973104800000002e6,0.0
0.5,2040,9,C2,1895.6975215,1.1975511800000002e6,0.0
0.5,2040,9,C3,1298.9198205,1.1975441000000006e6,3.888468803008917e-16
0.5,2040,12,C0,197.5520751,1.1235994500000002e6,2.0721854541124027e-16
0.5,2040,12,C1,767.8943406,1.12362802e6,0.0
0.5,2040,12,C2,494.0858296,1.12393111e6,0.0
0.5,2040,12,C3,517.1135971,1.12410241e6,0.0
0.5,2040,15,C0,266.3988068,1.0784335100000002e6,0.0
0.5,2040,15,C1,664.6378522,1.0784699300000002e6,0.0
0.5,2040,15,C2,938.0302237,1.07907287e6,6.473074714236943e-16
0.5,2040,15,C3,1395.2481008,1.07943586e6,2.1569659882697395e-16
0.5,2040,18,C0,249.2883225,1.0469720799999998e6,0.0
0.5,2040,18,C1,498.4718771,1.0470086099999999e6,0.0
0.5,2040,18,C2,747.0788798,1.04769684e6,7.778082568126708e-16
0.5,2040,18,C3,1278.1181705,1.0479257000000001e6,1.1109119838070086e-16
0.5,2040,21,C0,186.0905646,1.02163358e6,0.0
0.5,2040,21,C1,805.7435384,1.0216747899999999e6,0.0
0.5,2040,21,C2,464.7347513,1.02241529e6,0.0
0.5,2040,21,C3,1649.6968915,1.02318857e6,1.1377699599100762e-16
0.5,2040,24,C0,160.5398363,1.0022248400000001e6,0.0
0.5,2040,24,C1,343.8323816,1.0022706900000001e6,0.0
0.5,2040,24,C2,423.6392653,1.0036444199999999e6,0.0
0.5,2040,24,C3,1947.8839175,1.00407408e6,0.0
0.5,2040,27,C0,363.1836903,987507.81,7.073280068150639e-16
0.5,2040,27,C1,1018.0948927,987553.66,1.1788252784859792e-16
0.5,2040,27,C2,801.0932391,988848.0599999999,1.1772821987124576e-16
0.5,2040,27,C3,2524.5267504,989775.7399999999,0.0
0.5,2040,30,C0,156.3285137,975111.3299999998,0.0
0.5,2040,30,C1,298.6731796,975173.72,1.193790597914542e-16
0.5,2040,30,C2,587.2063089,976760.07,7.151110619843509e-16
0.5,2040,30,C3,2786.9635345,977808.6899999998,0.0
1.0,510,3,C0,12.3565748,1.49920384e6,4.659085791573271e-16
1.0,510,3,C1,37.0390611,1.49920384e6,4.659085791573271e-16
1.0,510,3,C2,52.6590606,1.4996568499999999e6,0.0
1.0,510,3,C3,71.2032987,1.49958349e6,0.0
1.0,510,6,C0,9.8482887,1.07879782e6,0.0
1.0,510,6,C1,23.6003821,1.07879782e6,0.0
1.0,510,6,C2,28.7473565,1.07907054e6,0.0
1.0,510,6,C3,49.6104269,1.0797998800000001e6,0.0
1.0,510,9,C0,7.8543694,888372.4800000001,1.1793903120934287e-15
1.0,510,9,C1,16.3772535,888372.4800000001,1.1793903120934287e-15
1.0,510,9,C2,19.4927003,888380.0700000001,1.0483379873835738e-15
1.0,510,9,C3,45.5417356,890392.69,0.0
1.0,510,12,C0,22.6959394,774615.16,0.0
1.0,510,12,C1,41.5515164,774615.16,0.0
1.0,510,12,C2,57.2579301,775055.71,0.0
1.0,510,12,C3,135.6661608,776381.9500000002,1.4994594068928932e-16
1.0,510,15,C0,7.3347183,681010.63,5.128348223886086e-16
1.0,510,15,C1,15.9345202,681010.63,5.128348223886086e-16
1.0,510,15,C2,25.1278036,681415.79,5.125298982003402e-16
1.0,510,15,C3,57.6706172,683500.2900000002,1.1922558990992432e-15
1.0,510,18,C0,6.7229415,616892.8900000001,0.0
1.0,510,18,C1,12.6953832,616993.0700000001,0.0
1.0,510,18,C2,19.8413354,617512.67,0.0
1.0,510,18,C3,58.8823135,619521.02,0.0
1.0,510,21,C0,14.7910862,569737.49,0.0
1.0,510,21,C1,30.8335934,569837.6699999999,0.0
1.0,510,21,C2,45.1673562,570101.93,0.0
1.0,510,21,C3,74.8056467,573805.05,2.0288305553765135e-16
1.0,510,24,C0,14.4785004,529384.4299999999,0.0
1.0,510,24,C1,22.2275054,529433.3099999999,0.0
1.0,510,24,C2,26.6641056,529699.1,0.0
1.0,510,24,C3,114.3839589,534736.780359783,0.0
1.0,510,27,C0,8.9929231,498181.14,0.0
1.0,510,27,C1,17.6659134,498230.02,0.0
1.0,510,27,C2,20.9982145,498538.0400000001,0.0
1.0,510,27,C3,147.6706941,504585.81999999995,0.0
1.0,510,30,C0,8.7587376,471117.3,0.0
1.0,510,30,C1,15.3943776,471253.69,0.0
1.0,510,30,C2,20.4615469,471550.07000000007,0.0
1.0,510,30,C3,166.3076747,479853.54,1.2130297280596786e-16
1.0,1008,3,C0,59.2203086,1.4736097300000002e6,7.900010393317286e-16
1.0,1008,3,C1,499.1940443,1.4736097300000002e6,7.900010393317286e-16
1.0,1008,3,C2,299.0148098,1.4738985e6,0.0
1.0,1008,3,C3,412.673986,1.4738985e6,0.0
1.0,1008,6,C0,99.5937039,1.0592226400000001e6,0.0
1.0,1008,6,C1,373.6140867,1.0592226400000001e6,0.0
1.0,1008,6,C2,361.4736738,1.05922728e6,0.0
1.0,1008,6,C3,417.9908685,1.05958778e6,0.0
1.0,1008,9,C0,97.2688543,870042.23,0.0
1.0,1008,9,C1,208.9131837,870050.13,0.0
1.0,1008,9,C2,225.1277292,870104.13,0.0
1.0,1008,9,C3,680.9229818,871462.22,0.0
1.0,1008,12,C0,206.291027,760491.8400000001,0.0
1.0,1008,12,C1,424.2744624,760491.8400000001,1.530789887593466e-16
1.0,1008,12,C2,735.7092154,760544.0700000001,1.5306847613305933e-16
1.0,1008,12,C3,1715.5557067,761690.9000000001,1.5283801057218196e-16
1.0,1008,15,C0,75.1401027,668402.4999999999,0.0
1.0,1008,15,C1,155.4528839,668402.9899999999,0.0
1.0,1008,15,C2,192.8293474,668445.1999999998,0.0
1.0,1008,15,C3,234.4026404,669056.6799999998,0.0
1.0,1008,18,C0,93.2999456,605797.45,1.9216872211485013e-16
