index,location,shape
1.0,68.0,Polygon(7 Points)
2.0,68.0,Polygon(7 Points)
3.0,68.0,Polygon(7 Points)
4.0,68.0,Polygon(7 Points)
5.0,68.0,Polygon(7 Points)
6.0,68.0,Polygon(7 Points)
7.0,68.0,Polygon(7 Points)
8.0,68.0,Polygon(7 Points)
9.0,68.0,Polygon(7 Points)
10.0,68.0,Polygon(7 Points)
11.0,68.0,Polygon(7 Points)
12.0,103.0,Polygon(7 Points)
13.0,103.0,Polygon(7 Points)
14.0,103.0,Polygon(7 Points)
15.0,103.0,Polygon(7 Points)
16.0,103.0,Polygon(7 Points)
17.0,103.0,Polygon(7 Points)
18.0,103.0,Polygon(7 Points)
19.0,103.0,Polygon(7 Points)
20.0,103.0,Polygon(7 Points)
21.0,103.0,Polygon(7 Points)
22.0,68.0,Polygon(7 Points)
23.0,68.0,Polygon(7 Points)
24.0,68.0,Polygon(7 Points)
25.0,68.0,Polygon(7 Points)
26.0,68.0,Polygon(7 Points)
27.0,68.0,Polygon(7 Points)
28.0,68.0,Polygon(7 Points)
29.0,68.0,Polygon(7 Points)
30.0,68.0,Polygon(7 Points)
31.0,68.0,Polygon(7 Points)
32.0,68.0,Polygon(7 Points)
33.0,103.0,Polygon(7 Points)
34.0,103.0,Polygon(7 Points)
35.0,103.0,Polygon(7 Points)
36.0,103.0,Polygon(7 Points)
37.0,103.0,Polygon(7 Points)
38.0,103.0,Polygon(7 Points)
39.0,103.0,Polygon(7 Points)
40.0,103.0,Polygon(7 Points)
41.0,103.0,Polygon(7 Points)
42.0,103.0,Polygon(7 Points)
43.0,68.0,Polygon(7 Points)
44.0,68.0,Polygon(7 Points)
45.0,68.0,Polygon(7 Points)
46.0,68.0,Polygon(7 Points)
47.0,68.0,Polygon(7 Points)
48.0,68.0,Polygon(7 Points)
49.0,68.0,Polygon(7 Points)
50.0,68.0,Polygon(7 Points)
51.0,68.0,Polygon(7 Points)
52.0,68.0,Polygon(7 Points)
53.0,68.0,Polygon(7 Points)
54.0,103.0,Polygon(7 Points)
55.0,103.0,Polygon(7 Points)
56.0,103.0,Polygon(7 Points)
57.0,103.0,Polygon(7 Points)
58.0,103.0,Polygon(7 Points)
59.0,103.0,Polygon(7 Points)
60.0,103.0,Polygon(7 Points)
61.0,103.0,Polygon(7 Points)
62.0,103.0,Polygon(7 Points)
63.0,103.0,Polygon(7 Points)
64.0,68.0,Polygon(7 Points)
65.0,68.0,Polygon(7 Points)
66.0,68.0,Polygon(7 Points)
67.0,68.0,Polygon(7 Points)
68.0,68.0,Polygon(7 Points)
69.0,68.0,Polygon(7 Points)
70.0,68.0,Polygon(7 Points)
71.0,68.0,Polygon(7 Points)
72.0,68.0,Polygon(7 Points)
73.0,68.0,Polygon(7 Points)
74.0,68.0,Polygon(7 Points)
75.0,103.0,Polygon(7 Points)
76.0,103.0,Polygon(7 Points)
77.0,103.0,Polygon(7 Points)
78.0,103.0,Polygon(7 Points)
79.0,103.0,Polygon(7 Points)
80.0,103.0,Polygon(7 Points)
81.0,103.0,Polygon(7 Points)
82.0,103.0,Polygon(7 Points)
83.0,103.0,Polygon(7 Points)
84.0,103.0,Polygon(7 Points)
85.0,68.0,Polygon(7 Points)
86.0,68.0,Polygon(7 Points)
87.0,68.0,Polygon(7 Points)
88.0,68.0,Polygon(7 Points)
89.0,68.0,Polygon(7 Points)
90.0,68.0,Polygon(7 Points)
91.0,68.0,Polygon(7 Points)
92.0,68.0,Polygon(7 Points)
93.0,68.0,Polygon(7 Points)
94.0,68.0,Polygon(7 Points)
95.0,68.0,Polygon(7 Points)
96.0,68.0,Polygon(7 Points)
97.0,103.0,Polygon(7 Points)
98.0,103.0,Polygon(7 Points)
99.0,103.0,Polygon(7 Points)
100.0,103.0,Polygon(7 Points)
101.0,103.0,Polygon(7 Points)
102.0,103.0,Polygon(7 Points)
103.0,103.0,Polygon(7 Points)
104.0,103.0,Polygon(7 Points)
105.0,103.0,Polygon(7 Points)
106.0,68.0,Polygon(7 Points)
107.0,68.0,Polygon(7 Points)
108.0,68.0,Polygon(7 Points)
109.0,68.0,Polygon(7 Points)
110.0,68.0,Polygon(7 Points)
111.0,68.0,Polygon(7 Points)
112.0,68.0,Polygon(7 Points)
113.0,68.0,Polygon(7 Points)
114.0,68.0,Polygon(7 Points)
115.0,68.0,Polygon(7 Points)
116.0,68.0,Polygon(7 Points)
117.0,68.0,Polygon(7 Points)
118.0,103.0,Polygon(7 Points)
119.0,103.0,Polygon(7 Points)
120.0,103.0,Polygon(7 Points)
121.0,103.0,Polygon(7 Points)
122.0,103.0,Polygon(7 Points)
123.0,103.0,Polygon(7 Points)
124.0,103.0,Polygon(7 Points)
125.0,103.0,Polygon(7 Points)
126.0,103.0,Polygon(7 Points)
127.0,68.0,Polygon(7 Points)
128.0,68.0,Polygon(7 Points)
129.0,68.0,Polygon(7 Points)
130.0,68.0,Polygon(7 Points)
131.0,68.0,Polygon(7 Points)
132.0,68.0,Polygon(7 Points)
133.0,68.0,Polygon(7 Points)
134.0,68.0,Polygon(7 Points)
135.0,68.0,Polygon(7 Points)
136.0,68.0,Polygon(7 Points)
137.0,68.0,Polygon(7 Points)
138.0,68.0,Polygon(7 Points)
139.0,103.0,Polygon(7 Points)
140.0,103.0,Polygon(7 Points)
141.0,103.0,Polygon(7 Points)
142.0,103.0,Polygon(7 Points)
143.0,103.0,Polygon(7 Points)
144.0,103.0,Polygon(7 Points)
145.0,103.0,Polygon(7 Points)
146.0,103.0,Polygon(7 Points)
147.0,103.0,Polygon(7 Points)
148.0,68.0,Polygon(7 Points)
149.0,68.0,Polygon(7 Points)
150.0,68.0,Polygon(7 Points)
151.0,68.0,Polygon(7 Points)
152.0,68.0,Polygon(7 Points)
153.0,68.0,Polygon(7 Points)
154.0,68.0,Polygon(7 Points)
155.0,68.0,Polygon(7 Points)
156.0,68.0,Polygon(7 Points)
157.0,68.0,Polygon(7 Points)
158.0,68.0,Polygon(7 Points)
159.0,103.0,Polygon(7 Points)
160.0,103.0,Polygon(7 Points)
161.0,103.0,Polygon(7 Points)
162.0,103.0,Polygon(7 Points)
163.0,103.0,Polygon(7 Points)
164.0,103.0,Polygon(7 Points)
165.0,103.0,Polygon(7 Points)
166.0,103.0,Polygon(7 Points)
167.0,103.0,Polygon(7 Points)
168.0,103.0,Polygon(7 Points)
169.0,68.0,Polygon(7 Points)
170.0,68.0,Polygon(7 Points)
171.0,68.0,Polygon(7 Points)
172.0,68.0,Polygon(7 Points)
173.0,68.0,Polygon(7 Points)
174.0,68.0,Polygon(7 Points)
175.0,68.0,Polygon(7 Points)
176.0,68.0,Polygon(7 Points)
177.0,68.0,Polygon(7 Points)
178.0,68.0,Polygon(7 Points)
179.0,68.0,Polygon(7 Points)
180.0,68.0,Polygon(7 Points)
181.0,103.0,Polygon(7 Points)
182.0,103.0,Polygon(7 Points)
183.0,103.0,Polygon(7 Points)
184.0,103.0,Polygon(7 Points)
185.0,103.0,Polygon(7 Points)
186.0,103.0,Polygon(7 Points)
187.0,103.0,Polygon(7 Points)
188.0,103.0,Polygon(7 Points)
189.0,103.0,Polygon(7 Points)
190.0,68.0,Polygon(7 Points)
191.0,68.0,Polygon(7 Points)
192.0,68.0,Polygon(7 Points)
193.0,68.0,Polygon(7 Points)
194.0,68.0,Polygon(7 Points)
195.0,68.0,Polygon(7 Points)
196.0,68.0,Polygon(7 Points)
197.0,68.0,Polygon(7 Points)
198.0,68.0,Polygon(7 Points)
199.0,68.0,Polygon(7 Points)
200.0,68.0,Polygon(7 Points)
201.0,103.0,Polygon(7 Points)
202.0,103.0,Polygon(7 Points)
203.0,103.0,Polygon(7 Points)
204.0,103.0,Polygon(7 Points)
205.0,103.0,Polygon(7 Points)
206.0,103.0,Polygon(7 Points)
207.0,103.0,Polygon(7 Points)
208.0,103.0,Polygon(7 Points)
209.0,103.0,Polygon(7 Points)
210.0,103.0,Polygon(7 Points)
211.0,68.0,Polygon(7 Points)
212.0,68.0,Polygon(7 Points)
213.0,68.0,Polygon(7 Points)
214.0,68.0,Polygon(7 Points)
215.0,68.0,Polygon(7 Points)
216.0,68.0,Polygon(7 Points)
217.0,68.0,Polygon(7 Points)
218.0,68.0,Polygon(7 Points)
219.0,68.0,Polygon(7 Points)
220.0,68.0,Polygon(7 Points)
221.0,68.0,Polygon(7 Points)
222.0,68.0,Polygon(7 Points)
223.0,103.0,Polygon(7 Points)
224.0,103.0,Polygon(7 Points)
225.0,103.0,Polygon(7 Points)
226.0,103.0,Polygon(7 Points)
227.0,103.0,Polygon(7 Points)
228.0,103.0,Polygon(7 Points)
229.0,103.0,Polygon(7 Points)
230.0,103.0,Polygon(7 Points)
231.0,103.0,Polygon(7 Points)
232.0,68.0,Polygon(7 Points)
233.0,68.0,Polygon(7 Points)
234.0,68.0,Polygon(7 Points)
235.0,68.0,Polygon(7 Points)
236.0,68.0,Polygon(7 Points)
237.0,68.0,Polygon(7 Points)
238.0,68.0,Polygon(7 Points)
239.0,68.0,Polygon(7 Points)
240.0,68.0,Polygon(7 Points)
241.0,68.0,Polygon(7 Points)
242.0,68.0,Polygon(7 Points)
243.0,68.0,Polygon(7 Points)
244.0,103.0,Polygon(7 Points)
245.0,103.0,Polygon(7 Points)
246.0,103.0,Polygon(7 Points)
247.0,103.0,Polygon(7 Points)
248.0,103.0,Polygon(7 Points)
249.0,103.0,Polygon(7 Points)
250.0,103.0,Polygon(7 Points)
251.0,103.0,Polygon(7 Points)
252.0,103.0,Polygon(7 Points)
253.0,68.0,Polygon(7 Points)
254.0,68.0,Polygon(7 Points)
255.0,68.0,Polygon(7 Points)
256.0,68.0,Polygon(7 Points)
257.0,68.0,Polygon(7 Points)
258.0,447.0,Polygon(7 Points)
259.0,447.0,Polygon(7 Points)
260.0,68.0,Polygon(7 Points)
261.0,447.0,Polygon(7 Points)
262.0,68.0,Polygon(7 Points)
263.0,68.0,Polygon(7 Points)
264.0,68.0,Polygon(7 Points)
265.0,415.0,Polygon(7 Points)
266.0,415.0,Polygon(7 Points)
267.0,415.0,Polygon(7 Points)
268.0,415.0,Polygon(7 Points)
269.0,103.0,Polygon(7 Points)
270.0,415.0,Polygon(7 Points)
271.0,415.0,Polygon(7 Points)
272.0,103.0,Polygon(7 Points)
273.0,415.0,Polygon(7 Points)
274.0,68.0,Polygon(7 Points)
275.0,447.0,Polygon(7 Points)
276.0,447.0,Polygon(7 Points)
277.0,447.0,Polygon(7 Points)
278.0,447.0,Polygon(7 Points)
279.0,447.0,Polygon(7 Points)
280.0,447.0,Polygon(7 Points)
281.0,447.0,Polygon(7 Points)
282.0,447.0,Polygon(7 Points)
283.0,68.0,Polygon(7 Points)
284.0,68.0,Polygon(7 Points)
285.0,415.0,Polygon(7 Points)
286.0,415.0,Polygon(7 Points)
287.0,415.0,Polygon(7 Points)
288.0,415.0,Polygon(7 Points)
289.0,415.0,Polygon(7 Points)
290.0,415.0,Polygon(7 Points)
291.0,415.0,Polygon(7 Points)
292.0,415.0,Polygon(7 Points)
293.0,415.0,Polygon(7 Points)
294.0,415.0,Polygon(7 Points)
295.0,447.0,Polygon(7 Points)
296.0,447.0,Polygon(7 Points)
297.0,447.0,Polygon(7 Points)
298.0,447.0,Polygon(7 Points)
299.0,447.0,Polygon(7 Points)
300.0,447.0,Polygon(7 Points)
301.0,447.0,Polygon(7 Points)
302.0,447.0,Polygon(7 Points)
303.0,447.0,Polygon(7 Points)
304.0,447.0,Polygon(7 Points)
305.0,415.0,Polygon(7 Points)
306.0,415.0,Polygon(7 Points)
307.0,415.0,Polygon(7 Points)
308.0,415.0,Polygon(7 Points)
309.0,415.0,Polygon(7 Points)
310.0,415.0,Polygon(7 Points)
